ticker,name,sector,market
1301.T,極洋,水産・農林業,プライム
1332.T,ニッスイ,水産・農林業,プライム
1333.T,マルハニチロ,水産・農林業,プライム
1375.T,ユキグニファクトリー,水産・農林業,プライム
1376.T,カネコ種苗,水産・農林業,スタンダード
1377.T,サカタのタネ,水産・農林業,プライム
1379.T,ホクト,水産・農林業,プライム
1380.T,秋川牧園,水産・農林業,スタンダード
1381.T,アクシーズ,水産・農林業,スタンダード
1382.T,ホーブ,水産・農林業,スタンダード
1383.T,ベルグアース,水産・農林業,スタンダード
1384.T,ホクリヨウ,水産・農林業,スタンダード
1401.T,エムビーエス,建設業,グロース
1407.T,ウエストホールディングス,建設業,スタンダード
1414.T,ショーボンドホールディングス,建設業,プライム
1417.T,ミライト・ワン,建設業,プライム
1418.T,インターライフホールディングス,建設業,スタンダード
1419.T,タマホーム,建設業,プライム
1420.T,サンヨーホームズ,建設業,スタンダード
1429.T,日本アクア,建設業,プライム
1430.T,ファーストコーポレーション,建設業,スタンダード
1431.T,Ｌｉｂ　Ｗｏｒｋ,建設業,グロース
1433.T,ベステラ,建設業,プライム
1434.T,ＪＥＳＣＯホールディングス,建設業,スタンダード
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,スタンダード
1436.T,グリーンエナジー＆カンパニー,建設業,グロース
1438.T,岐阜造園,建設業,スタンダード
1443.T,技研ホールディングス,建設業,スタンダード
1444.T,ニッソウ,建設業,グロース
1446.T,キャンディル,建設業,スタンダード
1447.T,ＳＡＡＦホールディングス,建設業,グロース
1450.T,ＴＡＮＡＫＥＮ,建設業,スタンダード
1491.T,中外鉱業,非鉄金属,スタンダード
1514.T,住石ホールディングス,鉱業,スタンダード
1515.T,日鉄鉱業,鉱業,プライム
1518.T,三井松島ホールディングス,その他製品,プライム
1605.T,ＩＮＰＥＸ,鉱業,プライム
1662.T,石油資源開発,鉱業,プライム
1663.T,Ｋ＆Ｏエナジーグループ,鉱業,プライム
1711.T,ＳＤＳホールディングス,建設業,スタンダード
1716.T,第一カッター興業,建設業,スタンダード
1717.T,明豊ファシリティワークス,サービス業,スタンダード
1718.T,美樹工業,建設業,スタンダード
1719.T,安藤・間,建設業,プライム
1720.T,東急建設,建設業,プライム
1721.T,コムシスホールディングス,建設業,プライム
1723.T,日本電技,建設業,スタンダード
1724.T,シンクレイヤ,建設業,スタンダード
1726.T,ビーアールホールディングス,建設業,プライム
1736.T,オーテック,建設業,スタンダード
1758.T,太洋基礎工業,建設業,スタンダード
1762.T,高松コンストラクショングループ,建設業,プライム
1764.T,工藤建設,建設業,スタンダード
1766.T,東建コーポレーション,建設業,プライム
1768.T,ソネック,建設業,スタンダード
1770.T,藤田エンジニアリング,建設業,スタンダード
1776.T,三井住建道路,建設業,スタンダード
1780.T,ヤマウラ,建設業,プライム
1783.T,ｆａｎｔａｓｉｓｔａ,不動産業,スタンダード
1786.T,オリエンタル白石,建設業,プライム
1787.T,ナカボーテック,建設業,スタンダード
1788.T,三東工業社,建設業,スタンダード
1793.T,大本組,建設業,スタンダード
1795.T,マサル,建設業,スタンダード
1798.T,守谷商会,建設業,スタンダード
1799.T,第一建設工業,建設業,スタンダード
1801.T,大成建設,建設業,プライム
1802.T,大林組,建設業,プライム
1803.T,清水建設,建設業,プライム
1807.T,佐藤渡辺,建設業,スタンダード
1808.T,長谷工コーポレーション,建設業,プライム
1810.T,松井建設,建設業,スタンダード
1811.T,錢高組,建設業,スタンダード
1812.T,鹿島建設,建設業,プライム
1813.T,不動テトラ,建設業,プライム
1814.T,大末建設,建設業,プライム
1815.T,鉄建建設,建設業,プライム
1820.T,西松建設,建設業,プライム
1822.T,大豊建設,建設業,スタンダード
1826.T,佐田建設,建設業,スタンダード
1827.T,ナカノフドー建設,建設業,スタンダード
1828.T,田辺工業,建設業,スタンダード
1833.T,奥村組,建設業,プライム
1835.T,東鉄工業,建設業,プライム
1840.T,土屋ホールディングス,建設業,スタンダード
1841.T,サンユー建設,建設業,スタンダード
1844.T,大盛工業,建設業,スタンダード
1847.T,イチケン,建設業,スタンダード
1848.T,富士ピー・エス,建設業,スタンダード
1850.T,南海辰村建設,建設業,スタンダード
1852.T,淺沼組,建設業,プライム
1853.T,森組,建設業,スタンダード
1860.T,戸田建設,建設業,プライム
1861.T,熊谷組,建設業,プライム
1866.T,北野建設,建設業,スタンダード
1867.T,植木組,建設業,スタンダード
1870.T,矢作建設工業,建設業,プライム
1871.T,ピーエス・コンストラクション,建設業,プライム
1873.T,日本ハウスホールディングス,建設業,プライム
1878.T,大東建託,不動産業,プライム
1879.T,新日本建設,建設業,プライム
1882.T,東亜道路工業,建設業,プライム
1885.T,東亜建設工業,建設業,プライム
1887.T,日本国土開発,建設業,プライム
1888.T,若築建設,建設業,プライム
1893.T,五洋建設,建設業,プライム
1897.T,金下建設,建設業,スタンダード
1898.T,世紀東急工業,建設業,プライム
1899.T,福田組,建設業,プライム
1904.T,大成温調,建設業,スタンダード
1905.T,テノックス,建設業,スタンダード
1909.T,日本ドライケミカル,機械,スタンダード
1911.T,住友林業,建設業,プライム
1914.T,日本基礎技術,建設業,スタンダード
1921.T,巴コーポレーション,建設業,スタンダード
1925.T,大和ハウス工業,建設業,プライム
1926.T,ライト工業,建設業,プライム
1928.T,積水ハウス,建設業,プライム
1929.T,日特建設,建設業,プライム
1930.T,北陸電気工事,建設業,プライム
1934.T,ユアテック,建設業,プライム
1938.T,日本リーテック,建設業,プライム
1939.T,四電工,建設業,プライム
1941.T,中電工,建設業,プライム
1942.T,関電工,建設業,プライム
1944.T,きんでん,建設業,プライム
1945.T,東京エネシス,建設業,プライム
1946.T,トーエネック,建設業,プライム
1948.T,弘電社,建設業,スタンダード
1949.T,住友電設,建設業,プライム
1950.T,日本電設工業,建設業,プライム
1951.T,エクシオグループ,建設業,プライム
1952.T,新日本空調,建設業,プライム
1959.T,クラフティア,建設業,プライム
1960.T,サンテック,建設業,スタンダード
1961.T,三機工業,建設業,プライム
1963.T,日揮ホールディングス,建設業,プライム
1964.T,中外炉工業,建設業,プライム
1965.T,テクノ菱和,建設業,スタンダード
1966.T,高田工業所,建設業,スタンダード
1967.T,ヤマト,建設業,スタンダード
1968.T,太平電業,建設業,プライム
1969.T,高砂熱学工業,建設業,プライム
1972.T,三晃金属工業,建設業,スタンダード
1975.T,朝日工業社,建設業,プライム
1976.T,明星工業,建設業,プライム
1979.T,大氣社,建設業,プライム
1980.T,ダイダン,建設業,プライム
1981.T,協和日成,建設業,スタンダード
1982.T,日比谷総合設備,建設業,プライム
1992.T,神田通信機,建設業,スタンダード
1994.T,高橋カーテンウォール工業,建設業,スタンダード
1997.T,暁飯島工業,建設業,スタンダード
2001.T,ニップン,食料品,プライム
2002.T,日清製粉グループ本社,食料品,プライム
2003.T,日東富士製粉,食料品,スタンダード
2004.T,昭和産業,食料品,プライム
2009.T,鳥越製粉,食料品,スタンダード
2053.T,中部飼料,食料品,プライム
2055.T,日和産業,食料品,スタンダード
2060.T,フィード・ワン,食料品,プライム
2108.T,日本甜菜製糖,食料品,プライム
2109.T,ＤＭ三井製糖,食料品,プライム
2112.T,塩水港精糖,食料品,スタンダード
2114.T,フジ日本,食料品,スタンダード
2117.T,ウェルネオシュガー,食料品,プライム
2120.T,ＬＩＦＵＬＬ,サービス業,プライム
2121.T,ＭＩＸＩ,情報・通信業,プライム
2122.T,インタースペース,サービス業,スタンダード
2124.T,ジェイエイシーリクルートメント,サービス業,プライム
2127.T,日本Ｍ＆Ａセンターホールディングス,サービス業,プライム
2130.T,メンバーズ,サービス業,プライム
2134.T,北浜キャピタルパートナーズ,サービス業,スタンダード
2136.T,ヒップ,サービス業,スタンダード
2138.T,クルーズ,情報・通信業,スタンダード
2139.T,中広,サービス業,スタンダード
2146.T,ＵＴグループ,サービス業,プライム
2148.T,アイティメディア,サービス業,プライム
2152.T,幼児活動研究会,サービス業,スタンダード
2153.T,Ｅ・Ｊホールディングス,サービス業,プライム
2154.T,オープンアップグループ,サービス業,プライム
2156.T,セーラー広告,サービス業,スタンダード
2157.T,コシダカホールディングス,サービス業,プライム
2158.T,ＦＲＯＮＴＥＯ,サービス業,グロース
2160.T,ジーエヌアイグループ,医薬品,グロース
2162.T,ｎｍｓ　ホールディングス,サービス業,スタンダード
2163.T,アルトナー,サービス業,プライム
2164.T,地域新聞社,サービス業,グロース
2168.T,パソナグループ,サービス業,プライム
2169.T,ＣＤＳ,サービス業,スタンダード
2170.T,リンクアンドモチベーション,サービス業,プライム
2173.T,博展,サービス業,グロース
2175.T,エス・エム・エス,サービス業,プライム
2179.T,成学社,サービス業,スタンダード
2180.T,サニーサイドアップグループ,サービス業,スタンダード
2181.T,パーソルホールディングス,サービス業,プライム
2183.T,リニカル,サービス業,スタンダード
2185.T,シイエム・シイ,サービス業,スタンダード
2186.T,ソーバル,サービス業,スタンダード
2193.T,クックパッド,サービス業,スタンダード
2195.T,アミタホールディングス,サービス業,グロース
2196.T,エスクリ,サービス業,スタンダード
2198.T,アイ・ケイ・ケイホールディングス,サービス業,プライム
2201.T,森永製菓,食料品,プライム
2204.T,中村屋,食料品,スタンダード
2206.T,江崎グリコ,食料品,プライム
2207.T,ｍｅｉｔｏ,食料品,プライム
2208.T,ブルボン,食料品,スタンダード
2209.T,井村屋グループ,食料品,プライム
2211.T,不二家,食料品,プライム
2212.T,山崎製パン,食料品,プライム
2215.T,第一屋製パン,食料品,スタンダード
2216.T,カンロ,食料品,スタンダード
2217.T,モロゾフ,食料品,プライム
2220.T,亀田製菓,食料品,プライム
2221.T,岩塚製菓,食料品,スタンダード
2222.T,寿スピリッツ,食料品,プライム
2224.T,コモ,食料品,スタンダード
2226.T,湖池屋,食料品,スタンダード
2229.T,カルビー,食料品,プライム
2264.T,森永乳業,食料品,プライム
2266.T,六甲バター,食料品,プライム
2267.T,ヤクルト本社,食料品,プライム
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,スタンダード
2269.T,明治ホールディングス,食料品,プライム
2270.T,雪印メグミルク,食料品,プライム
2281.T,プリマハム,食料品,プライム
2282.T,日本ハム,食料品,プライム
2286.T,林兼産業,食料品,スタンダード
2288.T,丸大食品,食料品,プライム
2291.T,福留ハム,食料品,スタンダード
2292.T,Ｓ　Ｆｏｏｄｓ,食料品,プライム
2293.T,滝沢ハム,食料品,スタンダード
2294.T,柿安本店,食料品,プライム
2296.T,伊藤ハム米久ホールディングス,食料品,プライム
2300.T,きょくとう,サービス業,スタンダード
2301.T,学情,サービス業,プライム
2303.T,ドーン,情報・通信業,スタンダード
2304.T,ＣＳＳホールディングス,サービス業,スタンダード
2305.T,スタジオアリス,サービス業,スタンダード
2307.T,クロスキャット,情報・通信業,プライム
