コード,銘柄名,セクター,売上成長率,営業益成長率,営業利益率,選定理由
462A,,,,,,四季報選定銘柄
7318,セレンディップ・ホールディングス,輸送用機器,,,,四季報選定銘柄（輸送用機器）
3565,アセンテック,卸売業,,,,四季報選定銘柄（卸売業）
5195,バンドー化学,ゴム製品,,,,四季報選定銘柄（ゴム製品）
4968,荒川化学工業,化学,,,,四季報選定銘柄（化学）
5994,ファインシンター,金属製品,,,,四季報選定銘柄（金属製品）
8793,ＮＥＣキャピタルソリューション,その他金融業,,,,四季報選定銘柄（その他金融業）
7345,アイ・パートナーズフィナンシャル,その他金融業,,,,四季報選定銘柄（その他金融業）
3294,イーグランド,不動産業,,,,四季報選定銘柄（不動産業）
7375,リファインバースグループ,サービス業,,,,四季報選定銘柄（サービス業）
5632,三菱製鋼,鉄鋼,,,,四季報選定銘柄（鉄鋼）
8881,日神グループホールディングス,不動産業,,,,四季報選定銘柄（不動産業）
5254,Ａｒｅｎｔ,情報・通信業,,,,四季報選定銘柄（情報・通信業）
6039,日本動物高度医療センター,サービス業,,,,四季報選定銘柄（サービス業）
3284,フージャースホールディングス,不動産業,,,,四季報選定銘柄（不動産業）
4635,東京インキ,化学,,,,四季報選定銘柄（化学）
6644,大崎電気工業,電気機器,,,,四季報選定銘柄（電気機器）
8869,明和地所,不動産業,,,,四季報選定銘柄（不動産業）
8841,テーオーシー,不動産業,,,,四季報選定銘柄（不動産業）
4212,積水樹脂,化学,,,,四季報選定銘柄（化学）
5659,日本精線,鉄鋼,,,,四季報選定銘柄（鉄鋼）
3562,Ｎｏ．１,卸売業,,,,四季報選定銘柄（卸売業）
7384,プロクレアホールディングス,銀行業,,,,四季報選定銘柄（銀行業）
5252,日本ナレッジ,情報・通信業,,,,四季報選定銘柄（情報・通信業）
8018,三共生興,卸売業,,,,四季報選定銘柄（卸売業）
2335,キューブシステム,情報・通信業,,,,四季報選定銘柄（情報・通信業）
5232,住友大阪セメント,ガラス・土石製品,,,,四季報選定銘柄（ガラス・土石製品）
7322,三十三フィナンシャルグループ,銀行業,,,,四季報選定銘柄（銀行業）
5599,Ｓ＆Ｊ,情報・通信業,,,,四季報選定銘柄（情報・通信業）
4626,太陽ホールディングス,化学,,,,四季報選定銘柄（化学）
3798,ＵＬＳグループ,情報・通信業,,,,四季報選定銘柄（情報・通信業）
7608,エスケイジャパン,卸売業,,,,四季報選定銘柄（卸売業）
8877,エスリード,不動産業,,,,四季報選定銘柄（不動産業）
6445,ジャノメ,機械,,,,四季報選定銘柄（機械）
6306,日工,機械,,,,四季報選定銘柄（機械）
3300,アンビション　ＤＸ　ホールディングス,不動産業,,,,四季報選定銘柄（不動産業）
7320,Ｓｏｌｖｖｙ,その他金融業,,,,四季報選定銘柄（その他金融業）
1381,アクシーズ,水産・農林業,,,,四季報選定銘柄（水産・農林業）
4415,ブロードエンタープライズ,情報・通信業,,,,四季報選定銘柄（情報・通信業）
7327,第四北越フィナンシャルグループ,銀行業,,,,四季報選定銘柄（銀行業）
6625,ＪＡＬＣＯホールディングス,不動産業,,,,四季報選定銘柄（不動産業）
3076,あい　ホールディングス,卸売業,,,,四季報選定銘柄（卸売業）
2461,ファンコミュニケーションズ,サービス業,,,,四季報選定銘柄（サービス業）
3063,ジェイグループホールディングス,小売業,,,,四季報選定銘柄（小売業）
7134,アップガレージグループ,小売業,,,,四季報選定銘柄（小売業）
6235,オプトラン,機械,,,,四季報選定銘柄（機械）
3320,クロスプラス,卸売業,,,,四季報選定銘柄（卸売業）
6622,ダイヘン,電気機器,,,,四季報選定銘柄（電気機器）
2780,コメ兵ホールディングス,小売業,,,,四季報選定銘柄（小売業）
6440,ＪＵＫＩ,機械,,,,四季報選定銘柄（機械）
